marca,cantidad
KINGDOM,136
HINO,1357
VOLVO,80
SUKIDA,22
Otras Marcas,1292
KAWASAKI,114
FOTON,14
SHINERAY,1263
SUZUKI,3539
QINGQI,206
HUSSAR,302
HONDA,1418
KINLON,51
PORSCHE,52
CHERY,1
MERCEDES BENZ,580
DODGE,3
LONGJIA,32
OKAZAKI,23
YAMOTO,81
FIAT,1324
JAC,38
SSANGYONG,227
JINCHENG,180
LEXUS,4
ORO MOTO,213
NISSAN,2396
JIALING,431
MACK,47
SANYA,48
TRAXX,274
DAYUN,39
YASAKI,95
YAMAHA,1497
SCANIA,9
CHANGHE,35
ISUZU,1
MAN,6
AUDI,67
LINGKEN,225
KIA,3188
PEUGEOT,2407
DAYTONA,1
TOYOTA,6196
VOLKSWAGEN,4757
SUBARU,2
KTM,38
CHANGAN,49
LAND ROVER,59
BMW,272
RENAULT,2265
SKODA,873
HYUNDAI,8547
FREIGHTLINER,16
CHRYSLER,1
JIEDA,107
LIFAN,134
DAKAR,4
LML,2
JEEP,71
DUCAR,217
SAIC WULING,1
DAIHATSU,261
FAW,13
CHEVROLET,39621
TEKNO,623
HARLEY DAVIDSON,18
QMC,327
LAMBORBINI,33
MITSUBISHI,1292
FORD,2630
CITROEN,471
INTERNATIONAL,60
LADA,745
GALARDI,68
AXXO,47
AMAZON,195
LONCIN,344
MOTOR UNO,666
BMA,35
DONGFENG,72
JIANSHE,142
MAZDA,4814
RANGER,976
TVS,1
KENWORTH,20
DAYANG,113
