provincia,clase,cantidad
ESMERALDAS,Jeep,1
IMBABURA,Automóvil,42
CHIMBORAZO,Jeep,1
PICHINCHA,Camioneta,2
LOJA,Automóvil,15
TUNGURAHUA,Jeep,3
SANTO DOMINGO DE LOS TSÁCHILAS,Motocicleta,5
TUNGURAHUA,Automóvil,67
PICHINCHA,Furgoneta P,17
GUAYAS,Motocicleta,3
SANTO DOMINGO DE LOS TSÁCHILAS,Jeep,1
COTOPAXI,Jeep,2
SANTA ELENA,Automóvil,5
ESMERALDAS,Automóvil,2
PICHINCHA,Automóvil,1122
LOJA,Motocicleta,4
EL ORO,Automóvil,8
GUAYAS,Jeep,11
LOJA,Jeep,1
IMBABURA,Jeep,1
GUAYAS,Furgoneta P,75
CHIMBORAZO,Motocicleta,1
AZUAY,Jeep,6
LOS RÍOS,Jeep,1
IMBABURA,Motocicleta,3
MANABÍ,Automóvil,45
CAÑAR,Automóvil,9
PICHINCHA,Motocicleta,111
EL ORO,Jeep,2
PICHINCHA,Jeep,76
SANTO DOMINGO DE LOS TSÁCHILAS,Automóvil,20
AZUAY,Motocicleta,31
COTOPAXI,Automóvil,41
CARCHI,Automóvil,13
EL ORO,Furgoneta P,1
LOS RÍOS,Automóvil,23
GUAYAS,Automóvil,701
EL ORO,Motocicleta,1
AZUAY,Automóvil,84
TUNGURAHUA,Motocicleta,2
CHIMBORAZO,Automóvil,20
CARCHI,Jeep,1
BOLÍVAR,Automóvil,4
