provincia,marca,cantidad
GUAYAS,TOYOTA,70
LOJA,CHEVROLET,61
SANTA ELENA,TOYOTA,2
ZAMORA CHINCHIPE,NISSAN,1
EL ORO,MAZDA,16
MORONA SANTIAGO,MITSUBISHI,1
NAPO,FORD,4
SUCUMBÍOS,FORD,10
LOJA,MAZDA,31
CAÑAR,TOYOTA,6
BOLÍVAR,MAZDA,14
AZUAY,CHEVROLET,60
GALÁPAGOS,TOYOTA,6
BOLÍVAR,NISSAN,2
CHIMBORAZO,MAZDA,28
TUNGURAHUA,MITSUBISHI,12
ORELLANA,CHEVROLET,46
IMBABURA,TOYOTA,6
GUAYAS,CHEVROLET,449
PASTAZA,MITSUBISHI,2
COTOPAXI,ISUZU,1
CAÑAR,ISUZU,26
COTOPAXI,MITSUBISHI,11
CHIMBORAZO,FORD,6
PASTAZA,HYUNDAI,1
SUCUMBÍOS,MITSUBISHI,1
PICHINCHA,MAZDA,123
IMBABURA,CHEVROLET,36
ORELLANA,MAZDA,38
ZAMORA CHINCHIPE,CHEVROLET,23
GUAYAS,VOLKSWAGEN,2
COTOPAXI,FORD,6
MANABÍ,SUZUKI,1
GUAYAS,MAZDA,64
IMBABURA,NISSAN,1
MORONA SANTIAGO,CHEVROLET,7
EL ORO,FORD,2
GUAYAS,FORD,14
SANTO DOMINGO DE LOS TSÁCHILAS,MAZDA,12
BOLÍVAR,TOYOTA,8
LOS RÍOS,FORD,4
ORELLANA,TOYOTA,4
CARCHI,MAZDA,5
TUNGURAHUA,FORD,7
ESMERALDAS,MAZDA,7
LOS RÍOS,CHEVROLET,53
CHIMBORAZO,MITSUBISHI,2
GALÁPAGOS,MITSUBISHI,1
GUAYAS,NISSAN,28
ESMERALDAS,TOYOTA,7
NAPO,TOYOTA,5
PICHINCHA,FORD,18
GUAYAS,MITSUBISHI,11
LOJA,TOYOTA,17
SANTO DOMINGO DE LOS TSÁCHILAS,TOYOTA,5
ZAMORA CHINCHIPE,TOYOTA,7
CARCHI,CHEVROLET,14
TUNGURAHUA,CHEVROLET,78
CARCHI,TOYOTA,5
LOJA,MITSUBISHI,3
CHIMBORAZO,NISSAN,1
IMBABURA,ISUZU,2
BOLÍVAR,CHEVROLET,29
SANTA ELENA,MAZDA,1
PICHINCHA,NISSAN,23
LOS RÍOS,NISSAN,14
IMBABURA,FORD,7
COTOPAXI,TOYOTA,21
LOS RÍOS,TOYOTA,6
NAPO,CHEVROLET,32
EL ORO,TOYOTA,2
AZUAY,FORD,1
LOS RÍOS,MITSUBISHI,4
CHIMBORAZO,CHEVROLET,69
PICHINCHA,CHEVROLET,459
GUAYAS,Otras Marcas,2
CAÑAR,MAZDA,6
IMBABURA,MAZDA,14
TUNGURAHUA,MAZDA,20
ESMERALDAS,FORD,3
SANTA ELENA,CHEVROLET,42
CARCHI,ISUZU,1
MORONA SANTIAGO,TOYOTA,3
NAPO,NISSAN,2
IMBABURA,MITSUBISHI,1
PASTAZA,NISSAN,6
AZUAY,ISUZU,2
MANABÍ,NISSAN,2
AZUAY,MAZDA,21
ZAMORA CHINCHIPE,MAZDA,3
ESMERALDAS,NISSAN,1
MANABÍ,CHEVROLET,104
MORONA SANTIAGO,MAZDA,6
PASTAZA,ISUZU,1
LOS RÍOS,MAZDA,20
AZUAY,MITSUBISHI,4
MANABÍ,MITSUBISHI,15
PASTAZA,CHEVROLET,17
ORELLANA,FORD,89
COTOPAXI,CHEVROLET,41
PICHINCHA,TOYOTA,27
CAÑAR,FORD,4
CHIMBORAZO,TOYOTA,9
PICHINCHA,MITSUBISHI,17
MANABÍ,TOYOTA,4
EL ORO,CHEVROLET,48
ESMERALDAS,CHEVROLET,66
ORELLANA,NISSAN,2
GALÁPAGOS,MAZDA,6
COTOPAXI,MAZDA,27
PICHINCHA,ISUZU,3
BOLÍVAR,FORD,1
AZUAY,NISSAN,14
GALÁPAGOS,CHEVROLET,7
AZUAY,TOYOTA,7
TUNGURAHUA,NISSAN,2
EL ORO,NISSAN,3
GUAYAS,GMC,1
CAÑAR,CHEVROLET,12
BOLÍVAR,MITSUBISHI,8
ZAMORA CHINCHIPE,MITSUBISHI,3
NAPO,MAZDA,12
SUCUMBÍOS,MAZDA,10
PASTAZA,MAZDA,2
EL ORO,MITSUBISHI,12
CARCHI,FORD,3
SUCUMBÍOS,CHEVROLET,358
CAÑAR,MITSUBISHI,3
LOJA,ISUZU,1
TUNGURAHUA,TOYOTA,15
NAPO,MITSUBISHI,4
SANTO DOMINGO DE LOS TSÁCHILAS,MITSUBISHI,3
MANABÍ,MAZDA,29
SANTO DOMINGO DE LOS TSÁCHILAS,CHEVROLET,37
TUNGURAHUA,ISUZU,4
PASTAZA,TOYOTA,6
GUAYAS,ISUZU,15
ESMERALDAS,MITSUBISHI,2
SUCUMBÍOS,TOYOTA,15
LOJA,FORD,3
